show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genres,language,description,popularity,vote_count,vote_average
218437,TV Show,Voices Rising: The Music of Wakanda Forever,,,"Nigeria, United States of America",2023-02-28,2023,5.3,1 Seasons,Documentary,en,"A documentary series focusing on the music from Marvel Studios’ Black Panther: Wakanda Forever. The show centers on the songs and score from the movie and features interview with director Ryan Coogler, composer Ludwig Göransson, among others.",17.44,7.0,5.3
232433,TV Show,Love Like a K-Drama,,"Yûko Fueki, Haruna Kondo, Ayaka Nishiwaki, Shusuke Fukutoku, Komori Hayato",Japan,2023-11-28,2023,8.5,1 Seasons,Reality,ja,Four actresses from Japan move to South Korea to audition and act alongside Korean actors for roles in a series of love stories. Will true romance follow?,23.448,15.0,8.5
199920,TV Show,KamiKatsu: Working for God in a Godless World,,"Junya Enoki, Akari Kito, Kana Hanazawa, Sumire Uesaka, Sho Fujisawa",Japan,2023-04-06,2023,6.5,1 Seasons,"Animation, Comedy, Mystery, Sci-Fi & Fantasy",ja,"Yukito, the son of a questionable cult leader, lost his life due to the cult's ridiculous training practices. Now to his surprise, he was reincarnated into another world! It was an ideal world for him without the concept of ""God"" or ""religion"" BUT...! A unique ""reincarnating in other world"" adventure begins: creating a ""religion"" in a world without God?!",22.837,37.0,6.5
234957,TV Show,Love Is An Accident,Li Yu Lei,"Xing Fei, Xu Kaicheng, Fangzhou Xu, Yang Gen, Zhang Chu Wen",China,2023-09-16,2023,8.7,1 Seasons,"Comedy, Drama, Sci-Fi & Fantasy",zh,"A girl stumbles upon Jiangjou’s mountaintop pavilion, never imagining she would come to pose as the young master's future wife.",22.822,3.0,8.7
238085,TV Show,There Will Be Ample Time,,"Ren Suxi, Li Xueqin, Shi Ce, Ren Bin, Wu Xingjian",China,2023-11-03,2023,7.0,1 Seasons,Drama,zh,"Four childhood friends—Zhang Pei, Gou Dandan, Dong Jiaxi, and Wu Yun—reunite in their hometown after years apart. Each returns for different reasons, from career changes to family responsibilities. As they navigate new challenges, they rediscover friendship, family, and love while finding new purpose in life.",26.879,5.0,7.0
220883,TV Show,Battalion 101,Mohamed Salama,"Asser Yassin, Amr Youssef, Fathy Abdel Wahab, Ahmed Salah Hosny, Wafaa Amer",Egypt,2023-03-23,2023,10.0,1 Seasons,"Drama, War & Politics",ar,"The series revolves around real facts, represented by the 101 Battalion's valor in confronting the takfiri and terrorist organizations in North Sinai. The story begins on January 28, 2018, when the takfiris attacked an important military site in the city of Arish in North Sinai.",21.246,1.0,10.0
114655,TV Show,The Curse,,"Emma Stone, Nathan Fielder, Benny Safdie",United States of America,2023-11-12,2023,6.385,1 Seasons,"Comedy, Drama",en,An alleged curse disturbs the relationship of a newly married couple as they try to conceive a child while co-starring on their problematic new HGTV show.,24.223,122.0,6.385
239949,TV Show,Lovers/Liars,,"Claudine Barretto, Shaira Diaz, Yasser Marta, Christian Vasquez, Lianne Valentin","Philippines, United States of America",2023-11-20,2023,0.0,1 Seasons,"Crime, Drama",tl,A nonconventional triple-plot drama series that shows the duality between genuine affection and deceitful intentions.,24.722,0.0,0.0
205504,TV Show,Royal Crackers,,"Jason Ruiz, Andrew Santino, Jessica St. Clair, David Gborie, Maile Flanagan",United States of America,2023-04-02,2023,5.6,1 Seasons,"Comedy, Animation",en,"Royal Crackers was once the king of snacks, but the empire is crumbling. When the family patriarch, tyrannical company founder Theodore Hornsby Sr. ends up in a “super coma,” the rest of the Hornsbys will take their lack of talent and business acumen and try to make Royal Crackers the success it once was.",20.118,21.0,5.6
205440,TV Show,The Watchful Eye,,"Mariel Molino, Warren Christie, Kelly Bishop, Amy Acker, Jon Ecker",United States of America,2023-01-30,2023,6.7,1 Seasons,"Mystery, Drama",en,"Elena Santos, a young woman with a complicated past, maneuvers her way into working as a live-in nanny for an affluent family in Manhattan. She quickly learns that everyone in the mysterious building has deadly secrets and ulterior motives. What they don't know, however, is that Elena has some shocking secrets of her own.",20.572,46.0,6.7
236572,TV Show,The Good Ship Murder,,Shayne Ward,United Kingdom,2023-10-13,2023,5.8,1 Seasons,"Mystery, Drama, Crime",en,"Former police detective Jack Grayling, pursuing his dream of becoming a cabaret singer on a luxury Mediterranean cruise ship, investigates a series of murders on board with the help of the ship's first officer, Kate Woods.",24.234,8.0,5.8
236809,TV Show,Scent of Time,"Guo Hao, Bai Yunmo","Zhou Ye, Wang Xingyue, Peng Chuyue, Zhang Yijie, Zhao Qing",China,2023-10-13,2023,7.0,1 Seasons,Drama,zh,A young woman's plan to marry the heir to a Chinese incense empire leads to her family's ruin...until she gets a second chance to right her wrongs.,28.724,9.0,7.0
230131,TV Show,South Sea Tomb,Tsai Yueh-Hsun,"Pan Yueming, Kitty Zhang Yuqi, Jiang Chao, Kent Tong Chun-Yip, Wang Yiquan",China,2023-11-27,2023,7.7,1 Seasons,"Drama, Action & Adventure, Mystery",zh,"Hu Bayi and Fatty Wang had planned to go abroad with Shirley Yang. However, they were entrusted by Professor Chen to travel to the Coral Spiral with Mr. Ming to search for the Qin Emperor's Bone Mirror. They befriended Ruan Hei, Gu Cai, and Duo Ling on Coral Temple Island. Together, they set sail. One night, they were sucked into the underwater cave of Guixu.",22.503,10.0,7.7
223422,TV Show,"Kas būtų, jeigu nebūtų Mėnulio",Emilis Vėlyvis,,Lithuania,2023-03-26,2023,8.0,1 Seasons,"Crime, Comedy",lt,,34.163,1.0,8.0
